167	Football	159	Sporting Goods > Team Sports > Football	false
168	Swimming & Water Sports	159	Sporting Goods > Water Sports > Swimming	false
169	Table Tennis	159	Sporting Goods > Racquet Sports > Tennis	false
170	Other Sports	159	Sporting Goods	false
171	Fitness Equipment	159	Sporting Goods > Exercise & Fitness	false
172	Fitness Accessories	159	Sporting Goods > Exercise & Fitness	false
175	Mobile Phones	12	Electronics > Communications > Telephony > Mobile Phones	false
176	Sarees	23	Apparel & Accessories > Clothing > Dresses	false
177	Suits & Lehangas	23	Apparel & Accessories > Clothing > Dresses	false
178	Kurtis	23	Apparel & Accessories > Clothing > Dresses	false
179	Dress Material	23	Apparel & Accessories > Clothing > Dresses	false
180	Tops & Tshirts	23	Apparel & Accessories > Clothing > Shirts & Tops	false
181	Trousers,Denims & Jeggings	23	Apparel & Accessories > Clothing > Pants	false
182	Innerwear	23	Apparel & Accessories > Clothing > Underwear & Socks	true
183	Dresses & Skirts	23	Apparel & Accessories > Clothing	false
184	Nightwear	23	Apparel & Accessories > Clothing > Sleepwear & Loungewear	false
185	Outerwear & Jackets	23	Apparel & Accessories > Clothing > Outerwear	false
186	Sportswear	23	Apparel & Accessories > Clothing > Activewear	false
187	Salwars & Churidhars	23	Apparel & Accessories > Clothing > Dresses	false
188	Shorts, Capris & Tights	23	Apparel & Accessories > Clothing > Shorts	false
189	Dupattas	23	Apparel & Accessories > Clothing > Dresses	false
190	Burqas	23	Apparel & Accessories > Clothing > Dresses	false
191	Shirts	17	Apparel & Accessories > Clothing > Shirts & Tops	false
192	Trousers	17	Apparel & Accessories > Clothing > Pants	false
193	T Shirts	17	Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts	false
194	Jeans	17	Apparel & Accessories > Clothing > Pants > Jeans	false
195	Suits & Blazers	17	Apparel & Accessories > Clothing > Suits	false
196	Innerwear	17	Apparel & Accessories > Clothing > Underwear & Socks	true
197	Ethnicwear	17	Apparel & Accessories > Clothing > Dresses	false
198	Sports Wear	17	Apparel & Accessories > Clothing > Activewear	false
199	Nightwear	17	Apparel & Accessories > Clothing > Sleepwear & Loungewear	false
200	Jackets	17	Apparel & Accessories > Clothing > Outerwear	false
201	Shorts & Cargos	17	Apparel & Accessories > Clothing > Shorts	false
203	Microwave Cooking	5	Home & Garden > Kitchen & Dining > Kitchen Appliance Accessories > Microwave Oven Accessories	false
204	Cutting & Cooking Tools	5	Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils	false
205	Dining & Serving	5	Home & Garden > Kitchen & Dining > Tableware	false
206	Tea & Coffee Serveware	5	Home & Garden > Kitchen & Dining > Tableware > Coffee & Tea Sets	false
207	Kitchen Storage	5	Home & Garden > Kitchen & Dining > Food Storage	false
208	Flasks & Tiffins	5	Home & Garden > Kitchen & Dining > Food & Beverage Carriers	false
209	Bath Linen	475	Home & Garden > Linens & Bedding	false
210	Bathroom Accessories	5	Home & Garden > Bathroom Accessories	false
211	Bed Linen	475	Home & Garden > Linens & Bedding > Bedding	false
212	Candles & Fragrances	217	Home & Garden > Decor > Candles	false
213	Clocks	217	Home & Garden > Decor > Clocks	false
214	Curtains & Blinds	475	Home & Garden > Decor > Window Treatments > Curtains & Drapes	false
215	Plants & Gardening	217	Home & Garden > Lawn & Garden > Gardening	false
216	Handicrafts	217	Home & Garden > Decor	false
217	Home Decoratives	217	Home & Garden > Decor	false
218	Lamps & Lighting	217	Home & Garden > Lighting	false
220	Mats & Carpets	475	Home & Garden > Decor	false
221	Table & Kitchen Linen	475	Home & Garden > Linens & Bedding	false
222	Wall Decor	217	Home & Garden > Decor	false
223	Oral Care	586	Health & Beauty > Personal Care > Oral Care	true
225	Pet Supplies	5	Animals & Pet Supplies > Pet Supplies	false
226	Men's Footwear	226	Apparel & Accessories > Shoes	false
227	Women's Footwear	227	Apparel & Accessories > Shoes	false
228	Memory Cards	12	Electronics > Electronics Accessories > Memory	false
229	Personal Care Appliances	9	Health & Beauty > Personal Care	false
230	Air Conditioner	9	Home & Garden > Household Appliances > Climate Control Appliances > Air Conditioners	false
231	Air Purifier & Dishwashers	9	Home & Garden > Kitchen & Dining > Kitchen Appliances	false
232	Chimney & Hoods	9	Home & Garden > Kitchen & Dining > Kitchen Appliances	false
233	Choppers & Blenders	9	Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils	false
234	Coffee Maker & Kettles	9	Home & Garden > Kitchen & Dining > Kitchen Appliances	false
236	Emergency Light & CFLs	9	Home & Garden > Lighting	false
237	Fans & Air Coolers	9	Home & Garden > Household Appliances > Climate Control Appliances > Fans	false
238	Food Processors	9	Home & Garden > Kitchen & Dining > Kitchen Appliances > Food Processors	false
239	Gas Stoves & Hobs	9	Home & Garden > Kitchen & Dining > Kitchen Appliances	false
240	Grills & Tandoor	9	Home & Garden > Kitchen & Dining > Kitchen Appliances > Electric Griddles & Grills	false
241	Induction Cookers	9	Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops	false
242	Iron	9	Home & Garden > Household Appliances > Laundry Appliances > Irons	false
243	Juicer Mixer Grinders	9	Home & Garden > Kitchen & Dining > Kitchen Appliances > Food Grinders & Mills	false
244	Microwave Ovens & OTGs	9	Home & Garden > Kitchen & Dining > Kitchen Appliances > Microwave Ovens	false
245	Refrigerator	9	Home & Garden > Kitchen & Dining > Kitchen Appliances > Refrigerators	false
246	Cookers & Steamers	9	Home & Garden > Kitchen & Dining > Kitchen Appliances > Food Cookers & Steamers	false
247	Toasters & Sandwich maker	9	Home & Garden > Kitchen & Dining > Kitchen Appliances > Toasters & Grills	false
248	Roti maker & Snack maker	9	Home & Garden > Kitchen & Dining > Kitchen Appliances	false
249	Vacuum Cleaners	9	Home & Garden > Household Appliances > Vacuums	false
250	Washing Machines & Dryers	9	Home & Garden > Household Appliances > Laundry Appliances > Washing Machines	false
252	Water Purifiers	9	Home & Garden > Kitchen & Dining > Kitchen Appliances > Water Filters	false
253	Formal Shoes	226	Apparel & Accessories > Shoes	false
254	Casual Shoes	226	Apparel & Accessories > Shoes	false
255	Sports Shoes	226	Apparel & Accessories > Shoes > Athletic Shoes & Sneakers	false
256	Sandals	226	Apparel & Accessories > Shoes > Sandals	false
257	Slippers & Flip Flops	226	Apparel & Accessories > Shoes > Slippers	false
258	Casual Shoes	227	Apparel & Accessories > Shoes	false
259	Sports Shoes	227	Apparel & Accessories > Shoes > Athletic Shoes & Sneakers	false
261	Slippers & Flip Flops	227	Apparel & Accessories > Shoes > Slippers	false
262	Ballerinas	227	Apparel & Accessories > Shoes > Espadrilles	false
263	Ethnic	227	Apparel & Accessories > Shoes > Sandals	false
264	Flat Slip-on & Sandal	227	Apparel & Accessories > Shoes > Flats	false
265	Boots	227	Apparel & Accessories > Shoes > Boots	false
266	Sanitary Napkins	31	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	false
267	Geysers & Heating Appliances	9	Home & Garden > Household Appliances > Water Heaters	false
268	Party Decoratives	5	Arts & Entertainment > Party & Celebration > Party Supplies	false
280	Bicycles & Accessories	159	Sporting Goods > Outdoor Recreation > Cycling	false
282	Webcams	21	Cameras & Optics > Cameras > Webcams	false
283	Internal Hard Drives	21	Electronics > Computers > Computer Components > Storage Devices > Hard Drives > Solid State Drives	false
285	Cooling Pads/Laptop Tables	21	Electronics > Computers > Computer Components > Computer System Cooling	false
286	Routers & Modems	21	Electronics > Networking	false
288	Headphones & Earphones	7	Electronics > Audio > Audio Components > Headphones	false
290	Cameras & Accessories	290	Cameras & Optics > Cameras	false
291	Digital Cameras	290	Cameras & Optics > Cameras > Digital Cameras	false
292	Digital SLRs	290	Cameras & Optics > Cameras > Digital Cameras > Digital SLRs	false
293	Camcorders	290	Cameras & Optics > Cameras > Video Cameras	false
294	Digital Photo Frames	290	Home & Garden > Decor > Picture Frames > Digital Picture Frames 	false
295	Binoculars & Telescopes	290	Cameras & Optics > Optics	false
296	Camera Accessories	290	Cameras & Optics > Camera & Optic Accessories > Camera Accessories	false
297	Nutrition	586	Health & Beauty > Health Care	false
298	Supports & Rehabilitation	31	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	false
299	Clinical Supplies	31	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	false
300	Wallets	481	Apparel & Accessories > Handbags, Wallets & Cases	false
304	Memory Cards	290	Electronics > Electronics Accessories > Memory Accessories	false
305	Graphic Cards	21	Electronics > Computers > Computer Components > I/O Cards & Adapters	false
306	Feminine Care	586	Health & Beauty > Personal Care > Cosmetics	true
307	Boxing	159	Sporting Goods > Combat Sports > Boxing	false
308	Hockey	159	Sporting Goods > Team Sports > Hockey	false
309	Leisure Sports	159	Sporting Goods > Indoor Games	false
310	Automotive	310	Vehicles & Parts > Vehicle Parts & Accessories	false
311	Car Audio & Video	310	Vehicles & Parts > Vehicle Parts & Accessories > Car Audio & Video	false
312	Car Care	310	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Care	false
313	Car Interior & Accessories	310	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Interior	false
314	Car Exterior	310	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Interior	false
315	Car Fresheners	310	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Care	false
316	Car GPS & Navigation	310	Electronics > GPS > Automotive GPS	false
317	Biker Gear & Accessories	310	Vehicles & Parts > Vehicle Parts & Accessories > Motorcycle Accessories	false
318	Health & Nutrition	318	Health & Beauty > Health Care	false
319	Contact Lenses	318	Health & Beauty > Personal Care > Vision Care > Contact Lenses	false
321	Health Devices	318	Health & Beauty > Health Care	true
322	Nutrition & Supplements	318	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	false
323	Supports & Rehabilitation	318	Health & Beauty > Health Care > Mobility & Accessibility	false
324	Sexual Wellness	318	Health & Beauty > Health Care > Contraceptives	true
325	Home Security	9	Home & Garden > Home Security	false
326	Laptop Batteries	21	Electronics > Electronics Accessories > Power > Batteries > Laptop Batteries	false
327	Adapters	21	Electronics > Computers > Computer Accessories > Laptop Accessories	false
328	Belts	481	Apparel & Accessories > Clothing Accessories > Belts	false
334	Data Cards	21	Electronics > Communications > Telephony	false
335	Car Wheels & Alloys	310	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Wheel Systems	false
336	Tablet Accessories	12	Electronics > Computers > Computer Accessories > Tablet Computer Accessories	false
337	Cushions & Covers	475	Home & Garden > Decor > Chair & Sofa Cushions	false
339	Ayurveda & Organic Products	318	Health & Beauty > Health Care	false
341	Earrings	6	Apparel & Accessories > Jewelry > Earrings	false
342	Rings	6	Apparel & Accessories > Jewelry > Rings	false
343	Pendant & Sets	6	Apparel & Accessories > Jewelry > Charms & Pendants	false
344	Necklaces & Sets	6	Apparel & Accessories > Jewelry > Necklaces	false
345	Mangalsutra	6	Apparel & Accessories > Jewelry	false
346	Bangles & Bracelets	6	Apparel & Accessories > Jewelry > Bracelets	false
347	Nosepins	6	Apparel & Accessories > Jewelry	false
348	Chains	6	Apparel & Accessories > Jewelry	false
349	Gold Coins & Bars	6	Apparel & Accessories > Jewelry	false
350	Loose Solitaires & Gems	6	Apparel & Accessories > Jewelry > Loose Stones	false
351	Idols & Articles	6	Apparel & Accessories > Jewelry	false
352	Gifting Ideas & Hampers	6	Apparel & Accessories > Jewelry	false
353	Jewellery Boxes & Cleaning Kits	6	Health & Beauty > Jewelry Cleaning & Care >	false
354	Kids Jewellery	6	Apparel & Accessories > Jewelry	false
355	Dolls & Doll Houses	66	Toys & Games > Toys > Dolls, Playsets & Toy Figures	false
356	Baby Toys & Accessories	66	Toys & Games > Toys	false
357	Trackpants & Tracksuits	17	Apparel & Accessories > Clothing > Activewear > Active Dresses	false
358	Sweatshirts	17	Apparel & Accessories > Clothing > Shirts & Tops > Sweatshirts	false
359	Sweaters	17	Apparel & Accessories > Clothing > Shirts & Tops > Sweaters & Cardigans	false
360	School Uniforms	66	Apparel & Accessories > Clothing > Uniforms > School Uniforms	false
361	Prams & Strollers	66	Baby & Toddler > Baby Transport	false
362	Plus Sizes	17	Apparel & Accessories > Clothing	false
363	Stoles & Scarves	481	Apparel & Accessories > Clothing Accessories > Scarves & Shawls	false
364	Books	364	Media > Books	false
365	Literature and Fiction	364	Media > Books > Fiction >	false
366	Academic and Professional	364	Media > Books > Non-Fiction > Education Books	false
367	Arts	364	Media > Books > Non-Fiction > Art Books	false
368	Award Winners	364	Media > Books > Non-Fiction > Award Winners	false
370	Other Books	364	Media > Books > Non-Fiction >	false
371	Business	364	Media > Books > Non-Fiction > Business & Economics Books	false
372	Children and Young Adults	364	Media > Books > Fiction > Children's Books	false
373	Coffee Table	364	Media > Books > Non-Fiction > Coffee Table Books	false
374	Comics and Graphic Novels	364	Media > Books > Fiction > Comics	false
375	Competitive Exams	364	Media > Books > Non-Fiction > Education Books	false
376	Computers and Internet	364	Media > Books > Non-Fiction > Computer Books	false
377	Cooking	364	Media > Books > Non-Fiction > Cooking Books	false
378	Crafts and Hobbies	364	Media > Books > Non-Fiction > Craft, Hobby & Activity Books	false
379	Family and Relationships	364	Media > Books > Non-Fiction > Family Relationship Books	true
380	Health and Fitness	364	Media > Books > Non-Fiction > Health & Fitness Books	true
381	History and Politics	364	Media > Books > Non-Fiction > History Books	false
382	Nature and Outdoors	364	Media > Books > Non-Fiction > Travel Books	false
383	Music	364	Media > Books > Non-Fiction > Music Books	false
384	Philosophy	364	Media > Books > Non-Fiction > Philosophy Books	false
385	Reference	364	Media > Books > Non-Fiction > Reference Books	false
386	Religion and Spirituality	364	Media > Books > Non-Fiction > Religion Books	false
387	Science and Technology	364	Media > Books > Non-Fiction > Science Books	false
388	Self-Help	364	Media > Books > Non-Fiction > Self Help Books	false
389	Sports and Games	364	Media > Books > Non-Fiction > Sports Books	false
390	Travel	364	Media > Books > Non-Fiction > Travel Books	false
391	Boots	226	Apparel & Accessories > Shoes > Boots	false
392	Ethnic	226	Apparel & Accessories > Shoes > Sandals	false
393	Floater Sandals	226	Apparel & Accessories > Shoes > Loafers & Slip-Ons	false
394	Heeled Slip-on & Pump	227	Apparel & Accessories > Shoes > Dress Shoes	false
395	Heeled Sandals	227	Apparel & Accessories > Shoes > Dress Shoes	false
396	Floater Sandal	227	Apparel & Accessories > Shoes > Loafers & Slip-Ons	false
397	Formal Shoes	227	Apparel & Accessories > Shoes	false
398	Biographies and Autobiographies	364	Media > Books > Non-Fiction > Biographies	false
399	Cufflinks	481	Apparel & Accessories > Clothing Accessories > Cufflinks	false
400	Necktie	481	Apparel & Accessories > Clothing Accessories > Neckties	false
401	Gift Sets	481	Apparel & Accessories > Clothing Accessories	false
402	Backpacks	474	Luggage & Bags > Backpacks	false
404	Chocolates  & Cookies	403	Food, Beverages & Tobacco > Food Items	false
405	Gift Packs	403	Arts & Entertainment > Party & Celebration > Gift Giving	false
416	Salwar Suits	23	Apparel & Accessories > Clothing > Dresses	false
417	Lehengas	23	Apparel & Accessories > Clothing > Dresses	false
